5171,INF-Wired Telecommunications Carriers
517Z,"INF-Telecommunications, Except Wired Telecommunications Carriers"
5182,"INF-Data Processing, Hosting, And Related Services"
51912,INF-Libraries And Archives
51913,INF-Internet Publishing And Broadcasting And Web Search Portals
5191ZM,"INF-Other Information Services, Except Libraries And Archives, And Internet Publishing And Broadcasting And Web Search Portals"
5221M,"FIN-Savings Institutions, Including Credit Unions"
522M,FIN-Nondepository Credit And Related Activities
524,FIN-Insurance Carriers And Related Activities
52M1,FIN-Banking And Related Activities
52M2,"FIN-Securities, Commodities, Funds, Trusts, And Other Financial Investments"
531,FIN-Real Estate
5321,FIN-Automotive Equipment Rental And Leasing
53223,FIN-Video Tape And Disk Rental
532M,FIN-Other Consumer Goods Rental
53M,"FIN-Commercial, Industrial, And Other Intangible Assets Rental And Leasing"
5411,PRF-Legal Services
5412,"PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services"
5413,"PRF-Architectural, Engineering, And Related Services"
5414,PRF-Specialized Design Services
5415,PRF-Computer Systems Design And Related Services
5416,"PRF-Management, Scientific, And Technical Consulting Services"
5417,PRF-Scientific Research And Development Services
5418,"PRF-Advertising, Public Relations, And Related Services"
54194,PRF-Veterinary Services
5419Z,"PRF-Other Professional, Scientific, And Technical Services"
55,PRF-Management Of Companies And Enterprises
5613,PRF-Employment Services
5614,PRF-Business Support Services
5615,PRF-Travel Arrangements And Reservation Services
5616,PRF-Investigation And Security Services
56173,PRF-Landscaping Services
5617Z,PRF-Services To Buildings And Dwellings (Except Cleaning During Construction And Immediately After Construction)
561M,PRF-Other Administrative And Other Support Services
562,PRF-Waste Management And Remediation Services
6111,EDU-Elementary And Secondary Schools
611M1,"EDU-Colleges, Universities, And Professional Schools, Including Junior Colleges"
611M2,"EDU-Business, Technical, And Trade Schools And Training"
611M3,"EDU-Other Schools And Instruction, And Educational Support Services"
6211,MED-Offices Of Physicians
6212,MED-Offices Of Dentists
62131,MED-Offices Of Chiropractors
62132,MED-Offices Of Optometrists
6213ZM,MED-Offices Of Other Health Practitioners
6214,MED-Outpatient Care Centers
6216,MED-Home Health Care Services
621M,MED-Other Health Care Services
622,MED-Hospitals
6231,MED-Nursing Care Facilities (Skilled Nursing Facilities)
623M,"MED-Residential Care Facilities, Except Skilled Nursing Facilities"
6241,SCA-Individual And Family Services
6242,"SCA-Community Food And Housing, And Emergency Services"
6243,SCA-Vocational Rehabilitation Services
6244,SCA-Child Day Care Services
711,"ENT-Performing Arts, Spectator Sports, And Related Industries"
712,"ENT-Museums, Art Galleries, Historical Sites, And Similar Institutions"
71395,ENT-Bowling Centers
713Z,"ENT-Other Amusement, Gambling, And Recreation Industries"
7211,ENT-Traveler Accommodation
721M,"ENT-Recreational Vehicle Parks And Camps, And Rooming And Boarding Houses"
7224,"ENT-Drinking Places, Alcoholic Beverages"
722Z,ENT-Restaurants And Other Food Services
811192,SRV-Car Washes
8111Z,SRV-Automotive Repair And Maintenance
8112,SRV-Electronic And Precision Equipment Repair And Maintenance
8113,SRV-Commercial And Industrial Machinery And Equipment Repair And Maintenance
8114,SRV-Personal And Household Goods Repair And Maintenance
812111,SRV-Barber Shops
812112,SRV-Beauty Salons
8121M,SRV-Nail Salons And Other Personal Care Services
8122,"SRV-Funeral Homes, Cemeteries And Crematories"
8123,SRV-Drycleaning And Laundry Services
8129,SRV-Other Personal Services
8131,SRV-Religious Organizations
81393,SRV-Labor Unions
8139Z,"SRV-Business, Professional, Political, And Similar Organizations"
813M,"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services"
814,SRV-Private Households
92113,ADM-Public Finance Activities
92119,ADM-Other General Government And Support
9211MP,ADM-Executive Offices And Legislative Bodies
923,ADM-Administration Of Human Resource Programs
928110P1,MIL-U.S. Army
928110P2,MIL-U.S. Air Force
928110P3,MIL-U.S. Navy
928110P4,MIL-U.S. Marines
928110P5,MIL-U.S. Coast Guard
928110P6,"MIL-U.S. Armed Forces, Branch Not Specified"
928110P7,MIL-Military Reserves Or National Guard
928P,ADM-National Security And International Affairs
92M1,ADM-Administration Of Environmental Quality And Housing Programs
92M2,ADM-Administration Of Economic Programs And Space Research
92MP,"ADM-Justice, Public Order, And Safety Activities"
9920,Unemployed And Last Worked 5 Years Ago Or Earlier Or Never Worked
